,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15,position_bot,position_jng,position_mid,position_sup,position_top
6004,0,-446.0,-370.0,-428.0,121.0,0,0,0,1,0
6010,0,519.0,428.0,829.0,329.0,0,0,0,0,1
6011,0,322.0,220.0,669.0,180.0,0,1,0,0,0
6012,0,76.0,210.0,446.0,-149.0,0,0,1,0,0
6013,0,-128.0,458.0,531.0,198.0,1,0,0,0,0
6014,0,-46.0,-441.0,374.0,-78.0,0,0,0,1,0
6020,1,-27.0,-250.0,-65.0,116.0,0,0,0,0,1
6021,1,500.0,704.0,840.0,910.0,0,1,0,0,0
6022,1,-312.0,-262.0,160.0,-145.0,0,0,1,0,0
6023,1,578.0,361.0,2086.0,1623.0,1,0,0,0,0
6024,1,60.0,-124.0,871.0,223.0,0,0,0,1,0
6030,1,-142.0,83.0,-844.0,-323.0,0,0,0,0,1
6031,1,92.0,-494.0,588.0,-116.0,0,1,0,0,0
6032,1,52.0,-433.0,27.0,148.0,0,0,1,0,0
6033,1,1164.0,377.0,1350.0,-463.0,1,0,0,0,0
6034,1,22.0,-49.0,825.0,1156.0,0,0,0,1,0
6040,1,607.0,126.0,1230.0,745.0,0,0,0,0,1
6041,1,949.0,752.0,936.0,569.0,0,1,0,0,0
6042,1,79.0,-103.0,190.0,232.0,0,0,1,0,0
6043,1,-427.0,-98.0,-493.0,-890.0,1,0,0,0,0
6044,1,-263.0,191.0,-226.0,433.0,0,0,0,1,0
6050,1,661.0,869.0,414.0,39.0,0,0,0,0,1
6051,1,-576.0,252.0,-185.0,737.0,0,1,0,0,0
6052,1,603.0,247.0,1740.0,689.0,0,0,1,0,0
6053,1,-274.0,-145.0,-194.0,-42.0,1,0,0,0,0
6054,1,14.0,-16.0,292.0,45.0,0,0,0,1,0
6060,1,27.0,-504.0,-161.0,-913.0,0,0,0,0,1
6061,1,-206.0,112.0,-61.0,518.0,0,1,0,0,0
6062,1,-50.0,261.0,604.0,1122.0,0,0,1,0,0
6063,1,448.0,500.0,1287.0,796.0,1,0,0,0,0
6064,1,426.0,319.0,823.0,1134.0,0,0,0,1,0
6070,0,417.0,233.0,-283.0,274.0,0,0,0,0,1
6071,0,750.0,1369.0,768.0,1606.0,0,1,0,0,0
6072,0,-194.0,-109.0,-707.0,-646.0,0,0,1,0,0
6073,0,-302.0,-419.0,36.0,92.0,1,0,0,0,0
6074,0,-76.0,-162.0,-297.0,-770.0,0,0,0,1,0
6080,1,-495.0,-366.0,-1075.0,-1426.0,0,0,0,0,1
6081,1,216.0,361.0,419.0,814.0,0,1,0,0,0
6082,1,4.0,69.0,369.0,804.0,0,0,1,0,0
6083,1,-352.0,-787.0,-741.0,-808.0,1,0,0,0,0
6084,1,-72.0,221.0,325.0,706.0,0,0,0,1,0
6090,1,-515.0,-128.0,-1469.0,-704.0,0,0,0,0,1
6091,1,-265.0,216.0,-481.0,-108.0,0,1,0,0,0
6092,1,-217.0,-408.0,-407.0,-496.0,0,0,1,0,0
6093,1,772.0,378.0,334.0,870.0,1,0,0,0,0
6094,1,-171.0,-90.0,-374.0,-489.0,0,0,0,1,0
6100,0,578.0,590.0,409.0,547.0,0,0,0,0,1
6101,0,-535.0,-909.0,-458.0,-945.0,0,1,0,0,0
6102,0,368.0,-46.0,-96.0,-669.0,0,0,1,0,0
6103,0,-149.0,-245.0,-1109.0,-1267.0,1,0,0,0,0
6104,0,-114.0,-13.0,-557.0,-592.0,0,0,0,1,0
6110,1,463.0,306.0,1682.0,702.0,0,0,0,0,1
6111,1,219.0,80.0,98.0,-87.0,0,1,0,0,0
6112,1,15.0,-327.0,-76.0,-67.0,0,0,1,0,0
6113,1,-198.0,-166.0,17.0,36.0,1,0,0,0,0
6114,1,284.0,-29.0,531.0,-128.0,0,0,0,1,0
6120,0,-433.0,-400.0,-699.0,-849.0,0,0,0,0,1
6121,0,-462.0,-64.0,-1016.0,-839.0,0,1,0,0,0
6122,0,-95.0,-343.0,-943.0,-1103.0,0,0,1,0,0
6123,0,167.0,225.0,-814.0,-660.0,1,0,0,0,0
6124,0,-132.0,218.0,-603.0,780.0,0,0,0,1,0
6130,0,-1008.0,-1070.0,-1215.0,-736.0,0,0,0,0,1
6131,0,442.0,1016.0,-369.0,145.0,0,1,0,0,0
6132,0,-69.0,111.0,-814.0,1028.0,0,0,1,0,0
6133,0,453.0,274.0,669.0,370.0,1,0,0,0,0
6134,0,264.0,246.0,-428.0,-151.0,0,0,0,1,0
6140,1,-87.0,-274.0,656.0,715.0,0,0,0,0,1
6141,1,145.0,237.0,988.0,894.0,0,1,0,0,0
6142,1,-488.0,85.0,-422.0,581.0,0,0,1,0,0
6143,1,58.0,-809.0,175.0,-398.0,1,0,0,0,0
6144,1,112.0,718.0,291.0,669.0,0,0,0,1,0
6150,0,-1280.0,-305.0,-912.0,521.0,0,0,0,0,1
6151,0,-806.0,531.0,-889.0,595.0,0,1,0,0,0
6152,0,-778.0,-2109.0,-1332.0,-2570.0,0,0,1,0,0
6153,0,669.0,199.0,792.0,-267.0,1,0,0,0,0
6154,0,288.0,260.0,437.0,87.0,0,0,0,1,0
6160,0,-398.0,-217.0,-1196.0,-980.0,0,0,0,0,1
6161,0,71.0,-95.0,-569.0,-1834.0,0,1,0,0,0
6162,0,1079.0,483.0,1221.0,499.0,0,0,1,0,0
6163,0,-287.0,124.0,-106.0,485.0,1,0,0,0,0
6164,0,-408.0,-538.0,-21.0,-53.0,0,0,0,1,0
6170,0,48.0,-221.0,-1143.0,-654.0,0,0,0,0,1
6171,0,306.0,1244.0,60.0,493.0,0,1,0,0,0
6172,0,-275.0,-516.0,277.0,-40.0,0,0,1,0,0
6173,0,-631.0,-217.0,-977.0,-694.0,1,0,0,0,0
6174,0,140.0,-217.0,67.0,-349.0,0,0,0,1,0
6180,0,143.0,343.0,-506.0,-91.0,0,0,0,0,1
6181,0,-190.0,-582.0,-755.0,-362.0,0,1,0,0,0
6182,0,-460.0,-211.0,-946.0,-394.0,0,0,1,0,0
6183,0,-556.0,-411.0,-1325.0,-823.0,1,0,0,0,0
6184,0,-519.0,-94.0,-923.0,212.0,0,0,0,1,0
6190,0,-648.0,184.0,-824.0,-398.0,0,0,0,0,1
6191,0,-1609.0,-1283.0,-1579.0,-1234.0,0,1,0,0,0
6192,0,-1386.0,-887.0,-1317.0,-684.0,0,0,1,0,0
6193,0,-246.0,-200.0,-1087.0,-740.0,1,0,0,0,0
6194,0,-281.0,-225.0,-130.0,96.0,0,0,0,1,0
6200,1,447.0,300.0,219.0,353.0,0,0,0,0,1
6201,1,195.0,196.0,241.0,479.0,0,1,0,0,0
6202,1,-205.0,-147.0,-199.0,92.0,0,0,1,0,0
6203,1,7.0,-50.0,-121.0,120.0,1,0,0,0,0
6204,1,-7.0,-124.0,-251.0,34.0,0,0,0,1,0
6210,0,-313.0,-1043.0,-201.0,-677.0,0,0,0,0,1
6211,0,187.0,37.0,393.0,972.0,0,1,0,0,0
6212,0,-211.0,-207.0,797.0,-492.0,0,0,1,0,0
6213,0,31.0,17.0,-352.0,-424.0,1,0,0,0,0
6214,0,-65.0,59.0,-158.0,-163.0,0,0,0,1,0
6220,0,329.0,592.0,-48.0,245.0,0,0,0,0,1
6221,0,280.0,-601.0,-225.0,-1160.0,0,1,0,0,0
6222,0,-180.0,-4.0,-408.0,-431.0,0,0,1,0,0
6223,0,513.0,124.0,901.0,696.0,1,0,0,0,0
6224,0,204.0,573.0,-156.0,163.0,0,0,0,1,0
6230,0,349.0,135.0,796.0,269.0,0,0,0,0,1
6231,0,-146.0,-546.0,67.0,-177.0,0,1,0,0,0
6232,0,-52.0,217.0,227.0,498.0,0,0,1,0,0
6233,0,-431.0,317.0,-481.0,226.0,1,0,0,0,0
6234,0,-280.0,-433.0,-88.0,-245.0,0,0,0,1,0
6240,0,-132.0,-205.0,12.0,-479.0,0,0,0,0,1
6241,0,-173.0,-133.0,-1347.0,-1126.0,0,1,0,0,0
6242,0,-51.0,-331.0,-858.0,-1670.0,0,0,1,0,0
6243,0,457.0,313.0,608.0,461.0,1,0,0,0,0
6244,0,51.0,-64.0,22.0,103.0,0,0,0,1,0
6250,0,407.0,431.0,-257.0,-588.0,0,0,0,0,1
6251,0,-265.0,-782.0,-330.0,-773.0,0,1,0,0,0
6252,0,141.0,231.0,128.0,83.0,0,0,1,0,0
6253,0,-179.0,-539.0,-710.0,-671.0,1,0,0,0,0
6254,0,-38.0,0.0,-13.0,-474.0,0,0,0,1,0
6260,0,827.0,334.0,1272.0,392.0,0,0,0,0,1
6261,0,1149.0,887.0,1845.0,399.0,0,1,0,0,0
6262,0,597.0,360.0,1399.0,1325.0,0,0,1,0,0
6263,0,-165.0,-158.0,-148.0,-404.0,1,0,0,0,0
6264,0,85.0,241.0,-425.0,-349.0,0,0,0,1,0
6270,1,0.0,-246.0,475.0,417.0,0,0,0,0,1
6271,1,186.0,462.0,190.0,847.0,0,1,0,0,0
6272,1,125.0,-23.0,973.0,472.0,0,0,1,0,0
6273,1,169.0,114.0,-220.0,-100.0,1,0,0,0,0
6274,1,10.0,733.0,-230.0,763.0,0,0,0,1,0
6280,0,89.0,-139.0,483.0,126.0,0,0,0,0,1
6281,0,-65.0,184.0,56.0,-97.0,0,1,0,0,0
6282,0,550.0,-474.0,561.0,-90.0,0,0,1,0,0
6283,0,-386.0,217.0,-726.0,-747.0,1,0,0,0,0
6284,0,50.0,-189.0,-591.0,-249.0,0,0,0,1,0
6290,1,-169.0,-225.0,-261.0,-979.0,0,0,0,0,1
6291,1,773.0,1025.0,822.0,1107.0,0,1,0,0,0
6292,1,229.0,189.0,1039.0,640.0,0,0,1,0,0
6293,1,541.0,199.0,665.0,-292.0,1,0,0,0,0
6294,1,336.0,442.0,398.0,-311.0,0,0,0,1,0
6300,0,775.0,483.0,1843.0,1480.0,0,0,0,0,1
6301,0,131.0,403.0,486.0,641.0,0,1,0,0,0
6302,0,124.0,114.0,563.0,55.0,0,0,1,0,0
6303,0,-1162.0,-597.0,-1080.0,-1196.0,1,0,0,0,0
6304,0,-1088.0,-1031.0,-1302.0,-762.0,0,0,0,1,0
6310,1,186.0,155.0,188.0,263.0,0,0,0,0,1
6311,1,-40.0,-97.0,-24.0,-347.0,0,1,0,0,0
6312,1,258.0,467.0,99.0,261.0,0,0,1,0,0
6313,1,465.0,143.0,1824.0,1293.0,1,0,0,0,0
6314,1,207.0,-301.0,82.0,-613.0,0,0,0,1,0
6320,1,263.0,174.0,312.0,600.0,0,0,0,0,1
6321,1,36.0,50.0,174.0,-374.0,0,1,0,0,0
6322,1,-245.0,576.0,53.0,672.0,0,0,1,0,0
6323,1,75.0,72.0,440.0,299.0,1,0,0,0,0
6324,1,-80.0,-620.0,-131.0,-735.0,0,0,0,1,0
6330,0,-3.0,-255.0,274.0,-96.0,0,0,0,0,1
6331,0,86.0,86.0,323.0,-227.0,0,1,0,0,0
6332,0,-406.0,-339.0,39.0,-185.0,0,0,1,0,0
6333,0,-356.0,61.0,-552.0,-236.0,1,0,0,0,0
6334,0,-39.0,-895.0,-284.0,-826.0,0,0,0,1,0
6340,1,-217.0,-286.0,319.0,161.0,0,0,0,0,1
6341,1,109.0,-471.0,49.0,-817.0,0,1,0,0,0
6342,1,-325.0,-405.0,-431.0,-123.0,0,0,1,0,0
6343,1,-345.0,-455.0,-278.0,-274.0,1,0,0,0,0
6344,1,-113.0,-16.0,-105.0,263.0,0,0,0,1,0
6350,0,-222.0,-816.0,-769.0,-1610.0,0,0,0,0,1
6351,0,-191.0,-50.0,-424.0,94.0,0,1,0,0,0
6352,0,-107.0,-111.0,64.0,216.0,0,0,1,0,0
6353,0,-409.0,-577.0,-483.0,-131.0,1,0,0,0,0
6354,0,-1108.0,-503.0,-1604.0,-201.0,0,0,0,1,0
6360,1,70.0,-176.0,243.0,-209.0,0,0,0,0,1
6361,1,-656.0,-818.0,-1108.0,-1756.0,0,1,0,0,0
6362,1,-328.0,-356.0,-363.0,-607.0,0,0,1,0,0
6363,1,227.0,578.0,-1046.0,-13.0,1,0,0,0,0
6364,1,59.0,89.0,-276.0,-552.0,0,0,0,1,0
6370,1,586.0,402.0,1186.0,1360.0,0,0,0,0,1
6371,1,32.0,-508.0,-137.0,-640.0,0,1,0,0,0
6372,1,-627.0,47.0,-804.0,54.0,0,0,1,0,0
6373,1,-160.0,-672.0,97.0,-482.0,1,0,0,0,0
6374,1,510.0,697.0,493.0,915.0,0,0,0,1,0
6380,0,-514.0,-597.0,-553.0,-912.0,0,0,0,0,1
6381,0,513.0,399.0,730.0,137.0,0,1,0,0,0
6382,0,731.0,329.0,1503.0,332.0,0,0,1,0,0
6383,0,-423.0,-157.0,357.0,69.0,1,0,0,0,0
6384,0,-190.0,794.0,-381.0,581.0,0,0,0,1,0
6390,1,381.0,263.0,419.0,342.0,0,0,0,0,1
6391,1,208.0,-178.0,-152.0,-500.0,0,1,0,0,0
6392,1,31.0,-450.0,523.0,-87.0,0,0,1,0,0
6393,1,-142.0,79.0,-443.0,-37.0,1,0,0,0,0
6394,1,-298.0,-295.0,-494.0,-710.0,0,0,0,1,0
6400,0,383.0,-80.0,747.0,-64.0,0,0,0,0,1
6401,0,767.0,324.0,1444.0,-97.0,0,1,0,0,0
6402,0,599.0,217.0,896.0,238.0,0,0,1,0,0
6403,0,998.0,117.0,1011.0,-71.0,1,0,0,0,0
6404,0,1274.0,459.0,2142.0,766.0,0,0,0,1,0
6410,0,-54.0,47.0,-712.0,-212.0,0,0,0,0,1
6411,0,325.0,598.0,33.0,469.0,0,1,0,0,0
6412,0,-261.0,-398.0,-716.0,-1157.0,0,0,1,0,0
6413,0,-98.0,-551.0,-237.0,-917.0,1,0,0,0,0
6414,0,-34.0,313.0,-107.0,581.0,0,0,0,1,0
6420,1,420.0,688.0,1220.0,445.0,0,0,0,0,1
6421,1,389.0,-269.0,780.0,-82.0,0,1,0,0,0
6422,1,-441.0,-74.0,-497.0,-243.0,0,0,1,0,0
6423,1,33.0,402.0,257.0,1029.0,1,0,0,0,0
6424,1,78.0,169.0,451.0,-74.0,0,0,0,1,0
6430,0,21.0,-1.0,-3.0,-106.0,0,0,0,0,1
6431,0,420.0,-218.0,993.0,25.0,0,1,0,0,0
6432,0,-282.0,57.0,-115.0,-578.0,0,0,1,0,0
6433,0,322.0,327.0,810.0,780.0,1,0,0,0,0
6434,0,926.0,-281.0,640.0,142.0,0,0,0,1,0
6440,1,138.0,-199.0,2108.0,1078.0,0,0,0,0,1
6441,1,493.0,1050.0,226.0,148.0,0,1,0,0,0
6442,1,-837.0,-744.0,-1407.0,-1203.0,0,0,1,0,0
6443,1,789.0,109.0,974.0,281.0,1,0,0,0,0
6444,1,308.0,619.0,747.0,1195.0,0,0,0,1,0
6450,1,-303.0,-229.0,363.0,1185.0,0,0,0,0,1
6451,1,-391.0,-170.0,-175.0,-147.0,0,1,0,0,0
6452,1,-687.0,-112.0,-75.0,198.0,0,0,1,0,0
6453,1,700.0,130.0,1231.0,590.0,1,0,0,0,0
6454,1,-39.0,28.0,239.0,458.0,0,0,0,1,0
6460,0,289.0,400.0,755.0,597.0,0,0,0,0,1
6461,0,27.0,6.0,490.0,-390.0,0,1,0,0,0
6462,0,-354.0,-421.0,226.0,-449.0,0,0,1,0,0
6463,0,-427.0,-179.0,-552.0,-376.0,1,0,0,0,0
6464,0,-189.0,-438.0,-132.0,-243.0,0,0,0,1,0
6470,1,-871.0,-794.0,760.0,-473.0,0,0,0,0,1
6471,1,-325.0,12.0,-136.0,-84.0,0,1,0,0,0
6472,1,39.0,90.0,111.0,657.0,0,0,1,0,0
6473,1,-19.0,834.0,273.0,1189.0,1,0,0,0,0
6474,1,-75.0,-229.0,69.0,-13.0,0,0,0,1,0
6480,1,-589.0,-1024.0,-1447.0,-1952.0,0,0,0,0,1
6481,1,432.0,-70.0,-3.0,-957.0,0,1,0,0,0
6482,1,670.0,576.0,103.0,197.0,0,0,1,0,0
6483,1,-92.0,2.0,366.0,528.0,1,0,0,0,0
6484,1,387.0,115.0,736.0,250.0,0,0,0,1,0
6490,1,-54.0,10.0,-384.0,-76.0,0,0,0,0,1
6491,1,-33.0,91.0,-61.0,-568.0,0,1,0,0,0
6492,1,301.0,392.0,297.0,28.0,0,0,1,0,0
6493,1,733.0,98.0,1588.0,637.0,1,0,0,0,0
6494,1,127.0,-199.0,738.0,95.0,0,0,0,1,0
6500,1,875.0,1365.0,1487.0,2642.0,0,0,0,0,1
6501,1,-8.0,20.0,-123.0,530.0,0,1,0,0,0
6502,1,699.0,173.0,750.0,286.0,0,0,1,0,0
6503,1,321.0,463.0,706.0,1154.0,1,0,0,0,0
6504,1,256.0,355.0,-183.0,288.0,0,0,0,1,0
6510,1,167.0,112.0,-282.0,-319.0,0,0,0,0,1
6511,1,44.0,-56.0,415.0,24.0,0,1,0,0,0
6512,1,194.0,204.0,319.0,-58.0,0,0,1,0,0
6513,1,112.0,-30.0,547.0,-177.0,1,0,0,0,0
6514,1,39.0,33.0,345.0,198.0,0,0,0,1,0
6520,1,45.0,-107.0,409.0,152.0,0,0,0,0,1
6521,1,-80.0,-129.0,72.0,-315.0,0,1,0,0,0
6522,1,-203.0,-73.0,-921.0,-303.0,0,0,1,0,0
6523,1,534.0,710.0,1452.0,1036.0,1,0,0,0,0
6524,1,169.0,-1.0,360.0,179.0,0,0,0,1,0
6530,1,266.0,371.0,2097.0,1737.0,0,0,0,0,1
6531,1,3.0,431.0,634.0,1410.0,0,1,0,0,0
6532,1,17.0,-21.0,786.0,305.0,0,0,1,0,0
6533,1,329.0,998.0,590.0,1102.0,1,0,0,0,0
6534,1,-378.0,-1178.0,-118.0,-784.0,0,0,0,1,0
6540,1,-1365.0,-1583.0,-275.0,-2263.0,0,0,0,0,1
6541,1,-582.0,62.0,79.0,273.0,0,1,0,0,0
6542,1,323.0,407.0,762.0,1542.0,0,0,1,0,0
6543,1,348.0,127.0,1464.0,1103.0,1,0,0,0,0
6544,1,-28.0,270.0,753.0,1469.0,0,0,0,1,0
6550,0,-607.0,-59.0,-1519.0,-74.0,0,0,0,0,1
6551,0,-57.0,-186.0,-840.0,-1414.0,0,1,0,0,0
6552,0,-766.0,-1054.0,-136.0,-292.0,0,0,1,0,0
6553,0,413.0,504.0,533.0,253.0,1,0,0,0,0
6554,0,-783.0,-398.0,-1821.0,-1165.0,0,0,0,1,0
6560,1,1038.0,966.0,1287.0,1327.0,0,0,0,0,1
6561,1,3.0,-240.0,-125.0,-361.0,0,1,0,0,0
6562,1,-726.0,-1123.0,-1342.0,-1501.0,0,0,1,0,0
6563,1,645.0,557.0,814.0,251.0,1,0,0,0,0
6564,1,142.0,143.0,224.0,-29.0,0,0,0,1,0
6570,1,207.0,-226.0,297.0,348.0,0,0,0,0,1
6571,1,-201.0,-465.0,-451.0,-407.0,0,1,0,0,0
6572,1,169.0,398.0,3.0,-184.0,0,0,1,0,0
6573,1,686.0,163.0,1215.0,407.0,1,0,0,0,0
6574,1,-849.0,206.0,-1328.0,-30.0,0,0,0,1,0
6580,1,-118.0,114.0,-222.0,-722.0,0,0,0,0,1
6581,1,352.0,839.0,84.0,328.0,0,1,0,0,0
6582,1,24.0,-333.0,0.0,-608.0,0,0,1,0,0
6583,1,1032.0,554.0,2266.0,857.0,1,0,0,0,0
6584,1,-440.0,122.0,-161.0,32.0,0,0,0,1,0
6590,1,314.0,419.0,845.0,636.0,0,0,0,0,1
6591,1,1132.0,920.0,1095.0,511.0,0,1,0,0,0
6592,1,816.0,569.0,1452.0,492.0,0,0,1,0,0
6593,1,211.0,160.0,1408.0,22.0,1,0,0,0,0
6594,1,205.0,593.0,1017.0,1481.0,0,0,0,1,0
6600,1,598.0,-38.0,741.0,70.0,0,0,0,0,1
6601,1,49.0,273.0,283.0,489.0,0,1,0,0,0
6602,1,581.0,666.0,1201.0,426.0,0,0,1,0,0
6603,1,279.0,243.0,1584.0,1049.0,1,0,0,0,0
6604,1,-1068.0,-212.0,-756.0,337.0,0,0,0,1,0
6610,1,393.0,451.0,-4.0,975.0,0,0,0,0,1
6611,1,-1403.0,-552.0,-658.0,-432.0,0,1,0,0,0
6612,1,474.0,293.0,1582.0,832.0,0,0,1,0,0
6613,1,-130.0,-411.0,896.0,375.0,1,0,0,0,0
6614,1,-273.0,-136.0,167.0,413.0,0,0,0,1,0
6620,0,260.0,422.0,2.0,236.0,0,0,0,0,1
6621,0,430.0,872.0,165.0,389.0,0,1,0,0,0
6622,0,-20.0,62.0,-340.0,-457.0,0,0,1,0,0
6623,0,-181.0,-116.0,-492.0,-455.0,1,0,0,0,0
6624,0,-123.0,-32.0,-200.0,-449.0,0,0,0,1,0
6630,0,150.0,28.0,201.0,-583.0,0,0,0,0,1
6631,0,-43.0,-5.0,-97.0,-415.0,0,1,0,0,0
6632,0,44.0,29.0,-764.0,-470.0,0,0,1,0,0
6633,0,121.0,105.0,804.0,459.0,1,0,0,0,0
6634,0,-64.0,-196.0,154.0,54.0,0,0,0,1,0
6640,0,-1141.0,-1164.0,-1331.0,-1234.0,0,0,0,0,1
6641,0,-164.0,15.0,112.0,92.0,0,1,0,0,0
6642,0,-208.0,52.0,-402.0,-347.0,0,0,1,0,0
6643,0,1162.0,678.0,2465.0,1518.0,1,0,0,0,0
6644,0,-950.0,-783.0,-1453.0,-1314.0,0,0,0,1,0
6650,0,443.0,24.0,888.0,709.0,0,0,0,0,1
6651,0,-248.0,89.0,-863.0,-824.0,0,1,0,0,0
6652,0,-530.0,-870.0,-728.0,-1164.0,0,0,1,0,0
6653,0,-208.0,-743.0,-890.0,-811.0,1,0,0,0,0
6654,0,-63.0,296.0,-628.0,-279.0,0,0,0,1,0
6660,1,-10.0,-89.0,287.0,62.0,0,0,0,0,1
6661,1,-243.0,-582.0,412.0,-267.0,0,1,0,0,0
6662,1,50.0,530.0,-42.0,72.0,0,0,1,0,0
6663,1,130.0,99.0,1726.0,1298.0,1,0,0,0,0
6664,1,81.0,-7.0,1149.0,134.0,0,0,0,1,0
6670,1,-189.0,-451.0,-1161.0,-1343.0,0,0,0,0,1
6671,1,330.0,643.0,91.0,844.0,0,1,0,0,0
6672,1,448.0,472.0,560.0,603.0,0,0,1,0,0
6673,1,77.0,302.0,680.0,691.0,1,0,0,0,0
6674,1,6.0,-87.0,69.0,681.0,0,0,0,1,0
6680,0,-167.0,-308.0,-843.0,-389.0,0,0,0,0,1
6681,0,-331.0,15.0,-241.0,-7.0,0,1,0,0,0
6682,0,-439.0,-790.0,-397.0,-272.0,0,0,1,0,0
6683,0,1472.0,942.0,2619.0,1418.0,1,0,0,0,0
6684,0,519.0,-126.0,538.0,-447.0,0,0,0,1,0
6690,1,908.0,945.0,1069.0,1084.0,0,0,0,0,1
6691,1,257.0,415.0,131.0,276.0,0,1,0,0,0
6692,1,152.0,347.0,632.0,786.0,0,0,1,0,0
6693,1,-335.0,-165.0,-242.0,87.0,1,0,0,0,0
6694,1,1201.0,884.0,1840.0,1537.0,0,0,0,1,0
6700,0,217.0,375.0,542.0,1335.0,0,0,0,0,1
6701,0,-267.0,-271.0,-90.0,-433.0,0,1,0,0,0
6702,0,388.0,-133.0,326.0,-232.0,0,0,1,0,0
6703,0,-569.0,-511.0,-407.0,-1160.0,1,0,0,0,0
6704,0,-285.0,-365.0,-466.0,-740.0,0,0,0,1,0
6710,0,-648.0,-279.0,-1118.0,-738.0,0,0,0,0,1
6711,0,-1196.0,-1103.0,-2102.0,-1994.0,0,1,0,0,0
6712,0,-1223.0,-705.0,-2291.0,-1161.0,0,0,1,0,0
6713,0,-263.0,-438.0,-2062.0,-2320.0,1,0,0,0,0
6714,0,-119.0,207.0,-845.0,391.0,0,0,0,1,0
6720,0,-383.0,-417.0,425.0,433.0,0,0,0,0,1
6721,0,436.0,581.0,1233.0,929.0,0,1,0,0,0
6722,0,139.0,101.0,-152.0,187.0,0,0,1,0,0
6723,0,-231.0,38.0,-442.0,242.0,1,0,0,0,0
6724,0,171.0,-137.0,261.0,-932.0,0,0,0,1,0
6730,0,65.0,265.0,259.0,123.0,0,0,0,0,1
6731,0,-185.0,314.0,-911.0,-449.0,0,1,0,0,0
6732,0,254.0,-71.0,-294.0,-603.0,0,0,1,0,0
6733,0,-319.0,-966.0,-1335.0,-1250.0,1,0,0,0,0
6734,0,-966.0,-383.0,-1316.0,-926.0,0,0,0,1,0
6740,1,-269.0,-496.0,-764.0,-906.0,0,0,0,0,1
6741,1,-276.0,-427.0,-220.0,-650.0,0,1,0,0,0
6742,1,848.0,612.0,1405.0,1102.0,0,0,1,0,0
6743,1,-164.0,-18.0,468.0,-259.0,1,0,0,0,0
6744,1,-25.0,-454.0,237.0,-518.0,0,0,0,1,0
6750,1,337.0,843.0,211.0,16.0,0,0,0,0,1
6751,1,-56.0,-237.0,-154.0,551.0,0,1,0,0,0
6752,1,296.0,192.0,709.0,260.0,0,0,1,0,0
6753,1,23.0,160.0,-167.0,-262.0,1,0,0,0,0
6754,1,65.0,372.0,512.0,437.0,0,0,0,1,0
6760,1,-227.0,-471.0,-784.0,-596.0,0,0,0,0,1
6761,1,-108.0,57.0,-643.0,-101.0,0,1,0,0,0
6762,1,117.0,247.0,-414.0,-590.0,0,0,1,0,0
6763,1,624.0,277.0,458.0,1021.0,1,0,0,0,0
6764,1,150.0,9.0,443.0,78.0,0,0,0,1,0
6770,1,610.0,621.0,312.0,785.0,0,0,0,0,1
6771,1,-338.0,-329.0,-707.0,-833.0,0,1,0,0,0
6772,1,295.0,-11.0,267.0,-790.0,0,0,1,0,0
6773,1,-584.0,195.0,-884.0,326.0,1,0,0,0,0
6774,1,-360.0,-327.0,-882.0,-378.0,0,0,0,1,0
6780,0,-556.0,-542.0,-1142.0,-1590.0,0,0,0,0,1
6781,0,-296.0,-81.0,-1366.0,-1143.0,0,1,0,0,0
6782,0,-533.0,-629.0,-577.0,-412.0,0,0,1,0,0
6783,0,-527.0,-1074.0,-2578.0,-2091.0,1,0,0,0,0
6784,0,-582.0,28.0,-1153.0,-269.0,0,0,0,1,0
6790,1,146.0,45.0,-205.0,-479.0,0,0,0,0,1
6791,1,147.0,-512.0,270.0,58.0,0,1,0,0,0
6792,1,-87.0,372.0,-869.0,-47.0,0,0,1,0,0
6793,1,-394.0,-187.0,-448.0,374.0,1,0,0,0,0
6794,1,136.0,-54.0,-26.0,262.0,0,0,0,1,0
6800,1,-372.0,60.0,-203.0,765.0,0,0,0,0,1
6801,1,117.0,-232.0,822.0,-558.0,0,1,0,0,0
6802,1,130.0,537.0,1815.0,1844.0,0,0,1,0,0
6803,1,1969.0,227.0,4007.0,1866.0,1,0,0,0,0
6804,1,890.0,435.0,1292.0,349.0,0,0,0,1,0
6810,0,-792.0,-552.0,-1258.0,-2251.0,0,0,0,0,1
6811,0,-18.0,-219.0,-284.0,-860.0,0,1,0,0,0
6812,0,-421.0,-776.0,-655.0,-749.0,0,0,1,0,0
6813,0,245.0,79.0,-414.0,-923.0,1,0,0,0,0
6814,0,375.0,874.0,468.0,926.0,0,0,0,1,0
6820,0,560.0,496.0,536.0,667.0,0,0,0,0,1
6821,0,680.0,150.0,1033.0,743.0,0,1,0,0,0
6822,0,-256.0,-192.0,175.0,314.0,0,0,1,0,0
6823,0,331.0,-21.0,457.0,708.0,1,0,0,0,0
6824,0,90.0,213.0,602.0,829.0,0,0,0,1,0
6830,0,0.0,-106.0,-437.0,-282.0,0,0,0,0,1
6831,0,-25.0,168.0,-440.0,-759.0,0,1,0,0,0
6832,0,21.0,181.0,-104.0,-586.0,0,0,1,0,0
6833,0,-466.0,-795.0,-556.0,-1427.0,1,0,0,0,0
6834,0,-72.0,23.0,221.0,652.0,0,0,0,1,0
6840,0,-165.0,-488.0,-154.0,-319.0,0,0,0,0,1
