,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15,position_bot,position_jng,position_mid,position_sup,position_top
191,0,458.0,653.0,455.0,700.0,0,1,0,0,0
192,0,447.0,192.0,949.0,-864.0,0,0,1,0,0
193,0,55.0,161.0,-1017.0,-264.0,1,0,0,0,0
194,0,425.0,-175.0,238.0,-495.0,0,0,0,1,0
200,0,-1001.0,-587.0,-2097.0,-907.0,0,0,0,0,1
201,0,-1316.0,-2026.0,-1837.0,-2260.0,0,1,0,0,0
202,0,-712.0,-32.0,-872.0,-81.0,0,0,1,0,0
203,0,174.0,-259.0,-235.0,-671.0,1,0,0,0,0
204,0,39.0,209.0,-19.0,-104.0,0,0,0,1,0
210,0,295.0,187.0,-559.0,-47.0,0,0,0,0,1
211,0,661.0,441.0,225.0,437.0,0,1,0,0,0
212,0,39.0,-82.0,1274.0,723.0,0,0,1,0,0
213,0,-441.0,-764.0,-24.0,-370.0,1,0,0,0,0
214,0,35.0,369.0,21.0,346.0,0,0,0,1,0
220,0,-1173.0,-922.0,-1589.0,-113.0,0,0,0,0,1
221,0,-588.0,-513.0,273.0,699.0,0,1,0,0,0
222,0,-289.0,-372.0,-391.0,138.0,0,0,1,0,0
223,0,-666.0,-319.0,219.0,339.0,1,0,0,0,0
224,0,-31.0,-573.0,195.0,-4.0,0,0,0,1,0
230,1,95.0,14.0,1217.0,901.0,0,0,0,0,1
231,1,288.0,243.0,738.0,511.0,0,1,0,0,0
232,1,637.0,454.0,1588.0,1153.0,0,0,1,0,0
233,1,-291.0,-684.0,240.0,-326.0,1,0,0,0,0
234,1,-433.0,502.0,-4.0,680.0,0,0,0,1,0
240,0,-476.0,-887.0,-1387.0,-391.0,0,0,0,0,1
241,0,-239.0,-905.0,-184.0,-348.0,0,1,0,0,0
242,0,261.0,538.0,481.0,1113.0,0,0,1,0,0
243,0,202.0,463.0,-113.0,597.0,1,0,0,0,0
244,0,28.0,-88.0,-536.0,-439.0,0,0,0,1,0
250,0,-8.0,84.0,-665.0,-1216.0,0,0,0,0,1
251,0,-211.0,-50.0,-761.0,-691.0,0,1,0,0,0
252,0,49.0,4.0,-358.0,-364.0,0,0,1,0,0
253,0,-600.0,51.0,-529.0,-596.0,1,0,0,0,0
254,0,-543.0,-579.0,-838.0,-486.0,0,0,0,1,0
260,0,-347.0,114.0,67.0,453.0,0,0,0,0,1
261,0,-626.0,-323.0,-185.0,-31.0,0,1,0,0,0
262,0,-366.0,-504.0,-658.0,-1225.0,0,0,1,0,0
263,0,-555.0,141.0,-419.0,-146.0,1,0,0,0,0
264,0,-317.0,-545.0,-192.0,-343.0,0,0,0,1,0
270,1,1053.0,1074.0,898.0,929.0,0,0,0,0,1
271,1,180.0,-687.0,-405.0,-1419.0,0,1,0,0,0
272,1,209.0,22.0,-765.0,-405.0,0,0,1,0,0
273,1,10.0,-39.0,-285.0,-590.0,1,0,0,0,0
274,1,-105.0,-102.0,-268.0,-519.0,0,0,0,1,0
280,0,-408.0,-866.0,-831.0,-795.0,0,0,0,0,1
281,0,824.0,656.0,1485.0,1322.0,0,1,0,0,0
282,0,-406.0,257.0,-821.0,-777.0,0,0,1,0,0
283,0,-116.0,144.0,-132.0,121.0,1,0,0,0,0
284,0,310.0,-50.0,312.0,-606.0,0,0,0,1,0
290,0,444.0,654.0,1562.0,1207.0,0,0,0,0,1
291,0,411.0,876.0,748.0,821.0,0,1,0,0,0
292,0,32.0,-271.0,-303.0,-297.0,0,0,1,0,0
293,0,280.0,377.0,310.0,33.0,1,0,0,0,0
294,0,-315.0,58.0,-64.0,-177.0,0,0,0,1,0
300,1,306.0,634.0,977.0,403.0,0,0,0,0,1
301,1,110.0,876.0,303.0,945.0,0,1,0,0,0
302,1,6.0,307.0,72.0,-314.0,0,0,1,0,0
303,1,127.0,-99.0,-672.0,-861.0,1,0,0,0,0
304,1,169.0,291.0,-22.0,56.0,0,0,0,1,0
310,1,-742.0,-948.0,-666.0,-724.0,0,0,0,0,1
311,1,499.0,419.0,498.0,663.0,0,1,0,0,0
312,1,505.0,386.0,986.0,206.0,0,0,1,0,0
313,1,1896.0,981.0,2140.0,1391.0,1,0,0,0,0
314,1,726.0,677.0,1141.0,70.0,0,0,0,1,0
320,0,-597.0,-160.0,-88.0,86.0,0,0,0,0,1
321,0,-454.0,-624.0,-500.0,-511.0,0,1,0,0,0
322,0,-88.0,-69.0,-333.0,-875.0,0,0,1,0,0
323,0,284.0,145.0,529.0,328.0,1,0,0,0,0
324,0,128.0,289.0,147.0,-362.0,0,0,0,1,0
330,1,236.0,602.0,600.0,833.0,0,0,0,0,1
331,1,-87.0,211.0,-239.0,-854.0,0,1,0,0,0
332,1,311.0,142.0,1348.0,622.0,0,0,1,0,0
333,1,-234.0,-651.0,78.0,-428.0,1,0,0,0,0
334,1,-24.0,114.0,158.0,-163.0,0,0,0,1,0
340,1,219.0,125.0,1488.0,1039.0,0,0,0,0,1
341,1,456.0,882.0,863.0,594.0,0,1,0,0,0
342,1,106.0,-568.0,627.0,-938.0,0,0,1,0,0
343,1,421.0,84.0,1274.0,890.0,1,0,0,0,0
344,1,-449.0,-593.0,-18.0,154.0,0,0,0,1,0
350,0,-305.0,-286.0,-442.0,-305.0,0,0,0,0,1
351,0,-299.0,-188.0,-325.0,-604.0,0,1,0,0,0
352,0,152.0,692.0,-447.0,-345.0,0,0,1,0,0
353,0,-635.0,-545.0,-756.0,-855.0,1,0,0,0,0
354,0,-341.0,-177.0,-344.0,-236.0,0,0,0,1,0
360,0,-77.0,90.0,548.0,-355.0,0,0,0,0,1
361,0,-118.0,-227.0,-275.0,-620.0,0,1,0,0,0
362,0,457.0,359.0,78.0,161.0,0,0,1,0,0
363,0,-169.0,-47.0,-110.0,-113.0,1,0,0,0,0
364,0,-120.0,-565.0,-202.0,-623.0,0,0,0,1,0
370,0,-1252.0,-788.0,-1116.0,108.0,0,0,0,0,1
371,0,-108.0,-141.0,-137.0,121.0,0,1,0,0,0
372,0,-241.0,-149.0,-251.0,-184.0,0,0,1,0,0
373,0,80.0,-40.0,30.0,239.0,1,0,0,0,0
374,0,-3.0,294.0,59.0,594.0,0,0,0,1,0
380,1,-376.0,-483.0,363.0,-891.0,0,0,0,0,1
381,1,-164.0,666.0,517.0,984.0,0,1,0,0,0
382,1,566.0,579.0,62.0,-31.0,0,0,1,0,0
383,1,-174.0,-457.0,213.0,-304.0,1,0,0,0,0
384,1,-168.0,-133.0,627.0,-409.0,0,0,0,1,0
390,0,-118.0,175.0,-296.0,-448.0,0,0,0,0,1
391,0,-131.0,285.0,310.0,927.0,0,1,0,0,0
392,0,-242.0,-210.0,-462.0,11.0,0,0,1,0,0
393,0,-246.0,-123.0,-603.0,-155.0,1,0,0,0,0
394,0,-361.0,-504.0,-419.0,-914.0,0,0,0,1,0
400,1,1351.0,1052.0,1817.0,316.0,0,0,0,0,1
401,1,235.0,116.0,253.0,460.0,0,1,0,0,0
402,1,136.0,238.0,158.0,-83.0,0,0,1,0,0
403,1,131.0,375.0,848.0,862.0,1,0,0,0,0
404,1,-209.0,-75.0,-65.0,321.0,0,0,0,1,0
410,1,-320.0,274.0,-425.0,40.0,0,0,0,0,1
411,1,361.0,38.0,437.0,563.0,0,1,0,0,0
412,1,460.0,-405.0,615.0,-80.0,0,0,1,0,0
413,1,-335.0,-834.0,-535.0,-1257.0,1,0,0,0,0
414,1,244.0,553.0,308.0,122.0,0,0,0,1,0
420,1,-891.0,-631.0,-1231.0,-973.0,0,0,0,0,1
421,1,340.0,493.0,337.0,454.0,0,1,0,0,0
422,1,942.0,641.0,528.0,-507.0,0,0,1,0,0
423,1,-187.0,118.0,-662.0,563.0,1,0,0,0,0
424,1,108.0,-34.0,391.0,-411.0,0,0,0,1,0
430,1,360.0,328.0,778.0,693.0,0,0,0,0,1
431,1,-172.0,-143.0,-333.0,-251.0,0,1,0,0,0
432,1,197.0,-104.0,930.0,263.0,0,0,1,0,0
433,1,-259.0,-202.0,15.0,250.0,1,0,0,0,0
434,1,-36.0,-36.0,211.0,374.0,0,0,0,1,0
440,0,-325.0,-484.0,-172.0,-267.0,0,0,0,0,1
441,0,-296.0,-38.0,132.0,729.0,0,1,0,0,0
442,0,100.0,426.0,208.0,815.0,0,0,1,0,0
443,0,41.0,759.0,-687.0,148.0,1,0,0,0,0
444,0,127.0,-744.0,110.0,-1004.0,0,0,0,1,0
450,1,421.0,657.0,244.0,448.0,0,0,0,0,1
451,1,351.0,210.0,-152.0,-910.0,0,1,0,0,0
452,1,-412.0,-345.0,-911.0,-893.0,0,0,1,0,0
453,1,-129.0,107.0,606.0,1385.0,1,0,0,0,0
454,1,223.0,122.0,831.0,561.0,0,0,0,1,0
460,1,389.0,278.0,535.0,220.0,0,0,0,0,1
461,1,-375.0,-838.0,-1576.0,-2253.0,0,1,0,0,0
462,1,26.0,163.0,-1416.0,-1052.0,0,0,1,0,0
463,1,9.0,13.0,-222.0,-97.0,1,0,0,0,0
464,1,25.0,137.0,123.0,658.0,0,0,0,1,0
470,0,-588.0,-904.0,-881.0,-1354.0,0,0,0,0,1
471,0,-561.0,-510.0,-948.0,-359.0,0,1,0,0,0
